FIP;County_Name;pop1970;pop1971;pop1972;pop1973;pop1974;pop1975;pop1976;pop1977;pop1978;pop1979;pop1980;pop1981;pop1982;pop1983;pop1984;pop1985;pop1986;pop1987;pop1988;pop1989;pop1990;pop1991;pop1992;pop1993;pop1994;pop1995;pop1996;pop1997;pop1998;pop1999;pop2000;pop2001;pop2002;pop2003;pop2004;pop2005;pop2006;pop2007;pop2008;pop2009;pop2010;pop2011;pop2012;pop2013;pop2014;pop2015;pop2016
48405;San Augustine County;7858;8000;8200;8200;8200;8300;8400;8700;8700;8700;8785;8961;8929;8840;8580;8487;8427;8405;8364;8150;7964;7968;8035;7976;7934;8024;7987;8137;8101;8079;8956;8806;8874;8856;8858;8781;8794;8685;8631;8574;8846;8854;8840;8724;8584;8473;8473
48407;San Jacinto County;6702;6900;7800;8200;8200;8400;8200;9100;9800;10600;11434;11724;12297;13641;14188;14660;15026;15252;15713;16139;16402;16726;17262;18004;18584;19251;19961;20829;21828;22554;22450;22762;23154;23707;24224;24342;24357;24790;24836;24902;26445;26818;27003;26786;27096;27413;27413
48409;San Patricio County;47288;47900;49600;50800;50100;50600;51800;53000;53900;56200;58013;59389;61470;62344;61891;61135;61664;60681;59371;58629;58821;59553;60632;63690;64734;65881;67292;69217;70737;71636;67362;66980;66960;67136;67763;68630;68472;68299;68338;68223;64483;64476;65344;66250;66924;67357;67357
48411;San Saba County;5540;5500;5800;5700;5600;5700;5500;5400;5400;5400;5841;5765;5847;5984;5942;5815;5669;5761;5816;5538;5370;5223;5666;5850;5987;6055;5637;5918;5817;5812;6201;6167;6049;5991;6055;5962;5938;5902;5849;5871;6133;6041;5983;5712;5830;5901;5901
48413;Schleicher County;2277;2200;2200;2500;2400;2500;2600;2600;2700;2700;2820;2939;3219;3459;3412;3261;3244;2981;2976;2832;3033;3040;3045;2979;3008;3058;3074;3023;2970;2938;2916;2944;2899;2763;2727;2743;2701;2746;2731;2731;3500;3302;3252;3198;3159;3211;3211
48415;Scurry County;15760;16400;17700;17100;17200;17700;18100;18000;18200;18100;18192;18899;20018;20665;20688;20823;20493;19602;18741;18545;18611;18429;18699;18218;18132;18217;18259;18121;18001;17649;16240;15746;15864;15728;15871;15790;15898;16039;16022;16222;16940;16878;17094;17246;17356;17615;17615
48417;Shackelford County;3323;3500;3300;3400;3400;3600;3500;3600;3600;3800;3915;4026;4235;4290;4305;4198;4121;3824;3573;3436;3283;3311;3307;3381;3317;3246;3266;3294;3288;3220;3299;3304;3323;3246;3152;3117;3080;3116;3045;3047;3368;3342;3370;3373;3323;3350;3350
48419;Shelby County;19672;20300;20500;21200;21400;21800;21700;22000;22300;22700;23084;23318;23263;23117;23082;22812;22384;22415;22447;22290;22007;22070;21870;22138;22311;22453;22584;22572;22882;22685;25264;25344;25458;25823;25755;25968;26123;26380;26505;26812;25436;25719;26029;25896;25581;25402;25402
48421;Sherman County;3657;3500;3300;3300;3400;3400;3500;3400;3300;3200;3174;3218;3234;3247;3077;3112;3053;2979;2935;3000;2837;2857;2801;2748;2865;2843;2814;2897;2866;2898;3182;3121;3140;3076;2999;2907;2873;2891;2941;2913;3027;3032;3064;3083;3077;3072;3072
48423;Smith County;97096;99800;103800;105800;108800;111700;114300;117100;120700;125900;128366;132734;137348;141243;145030;148975;151554;152388;152164;150876;151467;153286;154576;157297;159193;161410;163625;165693;168070;169693;175500;177511;180546;183345;186172;189910;194404;198018;201160;204665;210470;212832;215088;216854;220050;222936;222936
48425;Somervell County;2793;2900;2900;2900;3100;3100;3400;3700;3800;3900;4154;3988;4373;4763;4840;4829;5017;5281;5729;5766;5271;5275;5532;5632;5710;5902;6009;6189;6385;6615;6830;6900;7092;7232;7309;7415;7598;7702;7906;8031;8499;8444;8586;8607;8665;8739;8739
48427;Starr County;17707;18500;19400;20600;20700;22000;23300;24100;25000;26000;27266;29188;30442;32344;33376;34274;36330;37493;38591;39811;40873;42873;44846;47321;49764;51309;53122;54393;55443;56577;53818;54565;55862;57317;58668;59266;60240;60949;61552;62671;61172;61763;62023;62509;63149;63795;63795
