XCoord;YCoord
-220119,209;-321705,596
-219920,439;-321690,733
-219721,611;-321676,665
-219522,729;-321663,392
-219323,795;-321650,915
-219124,812;-321639,234
-218925,785;-321628,348
-218726,716;-321618,259
-218527,607;-321608,966
-218328,464;-321600,469
-218129,288;-321592,769
-217930,082;-321585,866
-217730,851;-321579,760
-217531,597;-321574,450
-217332,323;-321569,938
-217133,033;-321566,222
-216933,729;-321563,304
-216734,415;-321561,183
-216535,095;-321559,859
-216335,771;-321559,332
-216136,446;-321559,603
-215937,124;-321560,671
-215737,808;-321562,536
-215538,501;-321565,198
-215339,206;-321568,657
-215139,926;-321572,914
-214940,665;-321577,967
-214741,426;-321583,818
-214542,212;-321590,465
-214343,027;-321597,909
-214143,872;-321606,150
-213944,752;-321615,187
-213745,670;-321625,020
-213546,629;-321635,650
-213347,631;-321647,075
-213148,682;-321659,297
-212949,782;-321672,314
-212750,936;-321686,127
-212552,147;-321700,734
-212353,419;-321716,137
-212154,753;-321732,335
-211956,154;-321749,327
-211757,624;-321767,113
-211559,167;-321785,693
-211360,786;-321805,067
-211162,484;-321825,234
-210964,264;-321846,194
-210766,129;-321867,946
-210568,084;-321890,491
-210370,129;-321913,828
-210172,270;-321937,957
-209974,509;-321962,876
-209776,849;-321988,587
-209579,294;-322015,088
-209381,846;-322042,378
-209184,509;-322070,459
-208987,286;-322099,328
-208790,180;-322128,986
-208593,194;-322159,432
-208396,331;-322190,666
-208199,595;-322222,687
-208002,989;-322255,494
-207806,515;-322289,088
-207610,178;-322323,467
-207413,979;-322358,631
-207217,923;-322394,580
-207022,012;-322431,312
-206826,249;-322468,828
-206630,638;-322507,126
-206435,182;-322546,207
-206239,883;-322586,069
-206044,746;-322626,712
-205849,773;-322668,135
-205654,967;-322710,337
-205460,331;-322753,318
-205265,869;-322797,078
-205071,584;-322841,615
-204877,478;-322886,928
-204683,555;-322933,018
-204489,817;-322979,883
-204296,269;-323027,522
-204102,913;-323075,935
-203909,752;-323125,122
-203716,789;-323175,080
-203524,028;-323225,810
-203327,774;-323189,340
-203131,376;-323153,655
-202934,837;-323118,755
-202738,160;-323084,640
-202541,348;-323051,310
-202344,405;-323018,767
-202147,333;-322987,011
-201950,137;-322956,042
-201752,818;-322925,861
-201555,380;-322896,468
-201357,826;-322867,864
-201160,160;-322840,049
-200962,384;-322813,024
-200764,501;-322786,789
-200566,516;-322761,345
-200368,430;-322736,692
-200170,248;-322712,829
-199971,972;-322689,759
-199773,605;-322667,481
-199575,151;-322645,995
-199376,613;-322625,302
-199177,993;-322605,402
-198979,296;-322586,295
-198780,524;-322567,982
-198581,681;-322550,464
-198382,769;-322533,739
-198183,792;-322517,809
-197984,752;-322502,674
-197785,654;-322488,334
-197586,501;-322474,789
-197387,294;-322462,040
-197188,039;-322450,087
-196988,737;-322438,929
-196789,392;-322428,567
-196590,008;-322419,002
-196390,587;-322410,233
-196191,132;-322402,261
-195991,647;-322395,085
-195792,136;-322388,707
-195592,600;-322383,125
-195393,043;-322378,340
-195193,469;-322374,352
-194993,881;-322371,161
-194794,282;-322368,767
-194594,674;-322367,171
-194395,062;-322366,371
-194195,448;-322366,369
-193995,836;-322367,165
-193796,229;-322368,757
-193596,629;-322371,147
-193397,041;-322374,334
-193197,467;-322378,318
-192997,910;-322383,099
-192798,374;-322388,677
-192598,862;-322395,051
-192399,378;-322402,223
-192199,923;-322410,191
-192000,502;-322418,956
-191801,117;-322428,518
-191601,772;-322438,875
-191402,470;-322450,029
-191203,214;-322461,978
-191004,008;-322474,723
-190804,854;-322488,264
-190605,755;-322502,600
-190406,716;-322517,731
-190207,739;-322533,657
-190008,826;-322550,378
-189809,982;-322567,893
-189611,210;-322586,201
-189412,512;-322605,304
-189213,893;-322625,200
-189015,354;-322645,889
-188816,899;-322667,371
-188618,532;-322689,645
-188420,256;-322712,712
-188222,073;-322736,570
-188023,987;-322761,219
-187826,001;-322786,660
-187628,118;-322812,891
-187430,341;-322839,912
-187232,674;-322867,723
-187035,120;-322896,323
-186837,682;-322925,711
-186640,362;-322955,889
-186443,165;-322986,854
-186246,092;-323018,606
-186049,149;-323051,145
-185852,336;-323084,471
-185655,659;-323118,582
-185459,119;-323153,478
-185262,720;-323189,159
-185066,465;-323225,625
-184870,358;-323262,874
-184674,400;-323300,905
-184478,596;-323339,719
-184282,949;-323379,315
-184087,462;-323419,692
-183892,137;-323460,850
-183696,978;-323502,787
-183501,989;-323545,503
-183307,171;-323588,998
-183112,529;-323633,270
-182918,065;-323678,319
-182723,782;-323724,145
-182529,684;-323770,747
-182335,774;-323818,123
-182142,055;-323866,273
-181948,529;-323915,197
-181755,201;-323964,893
-181562,072;-324015,361
-181369,146;-324066,599
-181176,427;-324118,608
-180983,917;-324171,387
-180791,619;-324224,933
-180599,537;-324279,248
-180407,673;-324334,329
-180216,031;-324390,175
-180024,613;-324446,787
-179833,423;-324504,163
-179642,463;-324562,302
-179451,738;-324621,203
-179261,249;-324680,866
-179070,999;-324741,289
-178880,993;-324802,471
-178691,233;-324864,411
-178501,721;-324927,109
-178312,461;-324990,564
-178123,457;-325054,773
-177934,710;-325119,737
-177746,224;-325185,455
-177558,002;-325251,924
-177370,047;-325319,145
-177182,363;-325387,116
-176994,951;-325455,836
-176807,815;-325525,304
-176620,958;-325595,519
-176434,383;-325666,480
-176248,093;-325738,185
-176062,090;-325810,634
-175876,379;-325883,825
-175690,961;-325957,757
-175505,840;-326032,429
-175321,019;-326107,840
-175136,501;-326183,988
-174952,288;-326260,873
-174768,383;-326338,493
-174584,790;-326416,847
-174401,512;-326495,933
-174218,551;-326575,751
-174035,910;-326656,299
-173853,592;-326737,575
-173671,600;-326819,579
-173489,937;-326902,310
-173308,607;-326985,765
-173127,610;-327069,944
-172946,952;-327154,845
-172766,634;-327240,467
-172586,659;-327326,808
-172407,031;-327413,868
-172227,752;-327501,644
-172048,825;-327590,135
-171870,253;-327679,341
-171692,038;-327769,259
-171514,184;-327859,888
-171336,693;-327951,226
-171159,569;-328043,273
-170982,814;-328136,027
-170806,430;-328229,485
-170630,421;-328323,648
-170454,790;-328418,512
-170279,539;-328514,078
-170104,671;-328610,342
