fips;areaname;pop1970;pop1971;pop1972;pop1973;pop1974;pop1975;pop1976;pop1977;pop1978;pop1979;pop1980;pop1981;pop1982;pop1983;pop1984;pop1985;pop1986;pop1987;pop1988;pop1989;pop1990;pop1991;pop1992;pop1993;pop1994;pop1995;pop1996;pop1997;pop1998;pop1999;pop2000;pop2001;pop2002;pop2003;pop2004;pop2005;pop2006;pop2007;pop2008;pop2009;pop2010;pop2011;pop2012;pop2013;pop2014
40021;Cherokee County;23174;24400;24700;25000;26100;26700;27900;28500;29300;30000;30684;30614;30863;32558;32789;33162;33542;33568;33702;34051;34119;34796;35512;35819;36262;37080;37693;38451;39019;39506;42674;43032;43518;43853;44129;44408;45036;45065;45667;46029;47138;47764;48085;47973;48341
40023;Choctaw County;15141;16400;17200;17600;18000;18600;16600;16700;18400;17300;17203;16981;16655;16599;16190;15725;15958;16174;15937;15438;15311;15273;15373;15361;15455;15222;15223;15176;15103;15025;15328;15143;15248;15138;15168;15087;15091;15002;14885;14872;15229;15241;15170;15072;15161
40025;Cimarron County;4145;4000;3900;4000;4000;4000;3900;3800;3600;3600;3648;3709;3648;3806;3853;3790;3763;3891;3551;3441;3286;3205;3180;3150;3118;3031;3038;3067;2990;2922;3149;3053;2974;2896;2794;2708;2684;2655;2585;2630;2456;2480;2392;2330;2294
40027;Cleveland County;81839;87400;93100;99500;106100;104900;108900;115200;120000;127400;133173;139567;148470;156631;162174;164533;167782;169453;169669;171753;174653;177434;180633;184469;188237;191036;193698;198030;200977;203449;208403;212541;215733;219499;222373;225835;232379;235906;240568;244589;256844;261905;266122;269890;269908
40029;Coal County;5525;5700;5900;5800;5900;6000;6300;6300;6300;6200;6041;6110;5972;6271;6126;6079;6160;6134;6040;5980;5743;5676;5749;5863;5940;6035;6103;6113;6030;6126;6004;5998;5931;5890;5836;5690;5613;5654;5672;5856;5903;5942;5918;5817;5807
40031;Comanche County;108144;107900;100400;102700;104200;105800;114300;115500;117400;115000;112456;114573;119414;121858;120749;120211;118976;118365;116417;112313;111395;111115;120250;118023;113272;110526;109848;108700;108143;106621;114675;112236;112009;110484;113630;111866;112293;114503;112249;113228;125448;126109;126611;125035;125033
40033;Cotton County;6832;6800;6700;6600;6600;6700;6900;6900;7000;7200;7338;7204;7004;7226;7297;7050;6921;6936;6872;6731;6644;6462;6549;6597;6667;6796;6837;6718;6641;6609;6629;6430;6375;6431;6394;6449;6393;6367;6267;6281;6177;6158;6147;6153;6150
40035;Craig County;14722;14900;15100;14800;14900;14700;14600;15000;15200;15200;15014;14858;15076;15164;14968;15040;14997;14835;14618;14298;14057;14024;14091;14071;14175;14202;14361;14448;14465;14468;14929;14768;14742;14781;14815;14995;15006;15136;15101;15158;15058;14935;14721;14666;14582
40037;Creek County;45532;46900;47700;48800;50400;51500;53100;55400;57200;58400;59016;60848;63238;64360;67458;67432;66045;64531;62869;61617;60835;61661;62276;62874;63657;64527;65208;66216;67117;68169;67566;67903;68346;68320;68138;68059;68216;68835;69514;70244;70199;70650;70854;70698;70632
40039;Custer County;22665;23000;23500;23600;23600;23400;23900;24400;25000;25800;25995;27655;31078;32285;30500;29659;28896;27791;27065;27452;26791;26447;26551;26409;26402;26159;25796;25552;25572;25577;26053;25696;25195;25319;25339;25501;25704;25865;26272;26717;27486;27730;28518;29295;29500
